,"capital","LABOUR","output","SAVING","DEPR","INVEST","CONSUMP","NET INV"
"t356", 3.102444336363E+05, 1.152553641559E+05, 1.551222168190E+05, 3.102444336380E+04, 9.307333009088E+03, 1.551222168181E+04, 1.240977734552E+05, 1.551222168199E+04
"t357", 3.164493223092E+05, 1.175604714390E+05, 1.582246611554E+05, 3.164493223108E+04, 9.493479669275E+03, 1.582246611546E+04, 1.265797289243E+05, 1.582246611562E+04
"t358", 3.227783087555E+05, 1.199116808678E+05, 1.613891543785E+05, 3.227783087571E+04, 9.683349262665E+03, 1.613891543778E+04, 1.291113235028E+05, 1.613891543793E+04
"t359", 3.292338749308E+05, 1.223099144852E+05, 1.646169374661E+05, 3.292338749323E+04, 9.877016247923E+03, 1.646169374654E+04, 1.316935499729E+05, 1.646169374669E+04
"t360", 3.358185524295E+05, 1.247561127749E+05, 1.679092762155E+05, 3.358185524310E+04, 1.007455657289E+04, 1.679092762148E+04, 1.343274209724E+05, 1.679092762162E+04
"t361", 3.425349234783E+05, 1.272512350304E+05, 1.712674617398E+05, 3.425349234796E+04, 1.027604770435E+04, 1.712674617391E+04, 1.370139693918E+05, 1.712674617405E+04
"t362", 3.493856219480E+05, 1.297962597310E+05, 1.746928109746E+05, 3.493856219493E+04, 1.048156865844E+04, 1.746928109740E+04, 1.397542487797E+05, 1.746928109753E+04
"t363", 3.563733343871E+05, 1.323921849256E+05, 1.781866671941E+05, 3.563733343883E+04, 1.069120003161E+04, 1.781866671935E+04, 1.425493337553E+05, 1.781866671947E+04
"t364", 3.635008010749E+05, 1.350400286241E+05, 1.817504005380E+05, 3.635008010761E+04, 1.090502403225E+04, 1.817504005375E+04, 1.454003204304E+05, 1.817504005386E+04
"t365", 3.707708170965E+05, 1.377408291966E+05, 1.853854085488E+05, 3.707708170976E+04, 1.112312451290E+04, 1.853854085483E+04, 1.483083268391E+05, 1.853854085494E+04
"t366", 3.781862334386E+05, 1.404956457805E+05, 1.890931167198E+05, 3.781862334396E+04, 1.134558700316E+04, 1.890931167193E+04, 1.512744933758E+05, 1.890931167203E+04
"t367", 3.857499581075E+05, 1.433055586962E+05, 1.928749790542E+05, 3.857499581084E+04, 1.157249874322E+04, 1.928749790537E+04, 1.542999832434E+05, 1.928749790547E+04
"t368", 3.934649572697E+05, 1.461716698701E+05, 1.967324786353E+05, 3.934649572706E+04, 1.180394871809E+04, 1.967324786349E+04, 1.573859829083E+05, 1.967324786358E+04
"t369", 4.013342564152E+05, 1.490951032675E+05, 2.006671282080E+05, 4.013342564161E+04, 1.204002769246E+04, 2.006671282076E+04, 1.605337025664E+05, 2.006671282085E+04
